CMPLNT_FR_DT	CMPLNT_FR_TM	PD_DESC	LAW_CAT_CD	BORO_NM	ADDR_PCT_CD	PREM_TYP_DESC	Latitude	Longitude
12/28/16	6:25:00	"MISCHIEF, CRIMINAL 4, OF MOTOR"	MISDEMEANOR	BRONX	41	STREET	40.82428207	-73.89740856
12/28/16	6:20:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	BRONX	50	STREET	40.89520496	-73.88011089
12/28/16	6:15:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	BROOKLYN	73	RESIDENCE - PUBLIC HOUSING	40.67592288	-73.91793018
12/28/16	6:15:00	"LARCENY,PETIT FROM STORE-SHOPL"	MISDEMEANOR	QUEENS	115	DRUG STORE	40.75058602	-73.87026541
12/28/16	6:15:00	"HARASSMENT,SUBD 1,CIVILIAN"	VIOLATION	MANHATTAN	19	STREET	40.77407735	-73.96481386
12/28/16	6:10:00	"LARCENY,PETIT FROM STORE-SHOPL"	MISDEMEANOR	MANHATTAN	24	DRUG STORE	40.7988415	-73.96887128
12/28/16	6:10:00	ASSAULT 3	MISDEMEANOR	BRONX	49	RESIDENCE - PUBLIC HOUSING	40.87117295	-73.85214669
12/28/16	6:10:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	BRONX	49	RESIDENCE - PUBLIC HOUSING	40.87117295	-73.85214669
12/28/16	6:00:00	STRANGULATION 1ST	FELONY	BRONX	47	RESIDENCE-HOUSE	40.88805983	-73.81683945
12/28/16	6:00:00	"ROBBERY,OPEN AREA UNCLASSIFIED"	FELONY	QUEENS	103	PARK/PLAYGROUND	40.70377851	-73.80521295
12/28/16	5:55:00	"WEAPONS, POSSESSION, ETC"	MISDEMEANOR	BRONX	43	HOTEL/MOTEL	40.8296722	-73.88523364
12/28/16	5:45:00	"BURGLARY,TRUCK DAY"	FELONY	BROOKLYN	78	STREET	40.66841331	-73.98031954
12/28/16	5:30:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	MANHATTAN	28	RESIDENCE - APT. HOUSE	40.80538528	-73.95358877
12/28/16	5:30:00	"MISCHIEF, CRIMINAL 3 & 2, OF M"	FELONY	QUEENS	114	OTHER	40.77012967	-73.93238867
12/28/16	5:25:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	QUEENS	105	RESIDENCE-HOUSE	40.67396535	-73.75524381
12/28/16	5:20:00	WEAPONS POSSESSION 3	FELONY	MANHATTAN	23	STREET	40.78916809	-73.93896354
12/28/16	5:20:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	5	CLOTHING/BOUTIQUE	40.72132315	-74.00025759
12/28/16	5:20:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BROOKLYN	69	RESIDENCE-HOUSE	40.64020905	-73.91221975
12/28/16	5:15:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	BRONX	47	STREET	40.87872353	-73.84375851
12/28/16	5:15:00	WEAPONS POSSESSION 3	FELONY	BROOKLYN	61	RESIDENCE - APT. HOUSE	40.59382012	-73.95035474
12/28/16	5:00:00	LEAVING SCENE-ACCIDENT-PERSONA	MISDEMEANOR	BRONX	52	STREET	40.87958926	-73.87899271
12/28/16	4:50:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	BROOKLYN	66	STREET	40.62337809	-73.98948989
12/28/16	4:45:00	"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)"	FELONY	BRONX	40	TRANSIT - NYC SUBWAY	40.81326462	-73.93027845
12/28/16	4:30:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	MANHATTAN	9	RESIDENCE - PUBLIC HOUSING	40.72045033	-73.97491448
12/28/16	4:30:00	"ROBBERY,PERSONAL ELECTRONIC DEVICE"	FELONY	QUEENS	110	STREET	40.74877053	-73.86919344
12/28/16	4:30:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BROOKLYN	75	RESIDENCE - APT. HOUSE	40.6895764	-73.86868935
12/28/16	4:25:00	"WEAPONS, POSSESSION, ETC"	MISDEMEANOR	QUEENS	106	STREET	40.65751047	-73.83944703
12/28/16	4:13:00	STRANGULATION 1ST	FELONY	BRONX	49	RESIDENCE - APT. HOUSE	40.84367387	-73.86809604
12/28/16	4:10:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	STATEN ISLAND	121	STREET	40.60266989	-74.18408027
12/28/16	4:10:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	MANHATTAN	34	RESTAURANT/DINER	40.86413609	-73.91918021
12/28/16	4:02:00	RECKLESS ENDANGERMENT 1	FELONY	BRONX	47	BAR/NIGHT CLUB	40.87927418	-73.84299058
12/28/16	4:00:00	"LARCENY,GRAND PERSON,NECK CHAI"	FELONY	BROOKLYN	75	RESIDENCE - PUBLIC HOUSING	40.66753343	-73.86424849
12/28/16	4:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BROOKLYN	75	RESIDENCE - APT. HOUSE	40.67141166	-73.88151172
12/28/16	4:00:00	"BURGLARY,COMMERCIAL,NIGHT"	FELONY	MANHATTAN	33	DRY CLEANER/LAUNDRY	40.84646634	-73.93305204
12/28/16	4:00:00	ASSAULT 3	MISDEMEANOR	STATEN ISLAND	121	RESIDENCE - PUBLIC HOUSING	40.63193864	-74.16347383
12/28/16	4:00:00	"LARCENY,PETIT OF VEHICLE ACCES"	MISDEMEANOR	BRONX	46	STREET	40.85986175	-73.89436758
12/28/16	4:00:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BROOKLYN	71	RESIDENCE - APT. HOUSE	40.66297816	-73.93451217
12/28/16	4:00:00	ASSAULT 3	MISDEMEANOR	QUEENS	107	STREET	40.71879213	-73.8133364
12/28/16	4:00:00	ASSAULT 3	MISDEMEANOR	BRONX	40	STREET	40.80072064	-73.90966035
12/28/16	3:45:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	BRONX	44	RESIDENCE - APT. HOUSE	40.83185435	-73.92136229
12/28/16	3:45:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BROOKLYN	90	STREET	40.71404796	-73.95964395
12/28/16	3:40:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	44	STREET	40.82847396	-73.91898143
12/28/16	3:35:00	"ROBBERY,PERSONAL ELECTRONIC DEVICE"	FELONY	BRONX	49	STREET	40.86432814	-73.86840576
12/28/16	3:35:00	WEAPONS POSSESSION 3	FELONY	QUEENS	109	TRANSIT - NYC SUBWAY	40.7595778	-73.8301407
12/28/16	3:30:00	"CONTROLLED SUBSTANCE,POSSESS."	FELONY	QUEENS	109	STREET	40.74656454	-73.82620039
12/28/16	3:30:00	"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"	FELONY	MANHATTAN	5	BAR/NIGHT CLUB	40.7194922	-73.99315079
12/28/16	3:30:00	"ROBBERY,OPEN AREA UNCLASSIFIED"	FELONY	BRONX	48	RESIDENCE - APT. HOUSE	40.85593413	-73.88577756
12/28/16	3:30:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	MANHATTAN	5	BAR/NIGHT CLUB	40.7194922	-73.99315079
12/28/16	3:20:00	RESISTING ARREST	MISDEMEANOR	BROOKLYN	69	STREET	40.63083727	-73.907354
12/28/16	3:18:00	"DRUG PARAPHERNALIA,   POSSESSE"	MISDEMEANOR	BRONX	41	STREET	40.80819693	-73.88195095
12/28/16	3:15:00	"IMPERSONATION 2, PUBLIC SERVAN"	MISDEMEANOR	QUEENS	110	STREET	40.7383819	-73.86007341
12/28/16	3:15:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	MANHATTAN	10	STREET	40.74715403	-74.00084956
